date,hour,ws_10m,wd_10m
11/30/2011,100,0.948,218.9
11/30/2011,200,1.774,162.5
11/30/2011,300,2.826,236.9
11/30/2011,400,3.525,164.5
11/30/2011,500,3.421,168.9
11/30/2011,600,1.798,340.1
11/30/2011,700,1.146,141.7
11/30/2011,800,2.189,178.5
11/30/2011,900,1.776,153.7
11/30/2011,1000,1.786,17.39
11/30/2011,1100,3.035,7.74
11/30/2011,1200,3.205,30.7
11/30/2011,1300,3.331,4.922
11/30/2011,1400,3.873,14.02
11/30/2011,1500,17.47,18.15
11/30/2011,1600,19.16,15.47
11/30/2011,1700,20.93,13.37
11/30/2011,1800,22.55,7.25
11/30/2011,1900,16.21,353.7
11/30/2011,2000,16.05,353.7
11/30/2011,2100,16.38,354.9
11/30/2011,2200,17.26,352.4
11/30/2011,2300,17.55,346.6
11/30/2011,2400,16.47,353.8
12/1/2011,100,15.54,357.8
12/1/2011,200,17.17,348.7
12/1/2011,300,17.82,350.2
12/1/2011,400,16.87,357.8
12/1/2011,500,19.2,359
12/1/2011,600,17.91,2.559
12/1/2011,700,14.1,5.66
12/1/2011,800,12.12,14.72
12/1/2011,900,10.85,21.88
12/1/2011,1000,13.35,18.9
12/1/2011,1100,16.04,10.23
12/1/2011,1200,14.74,7.44
12/1/2011,1300,14.82,4.008
12/1/2011,1400,15.26,5.412
12/1/2011,1500,14.37,2.097
12/1/2011,1600,12.98,8.59
12/1/2011,1700,12.34,4.313
12/1/2011,1800,11.97,10.69
12/1/2011,1900,12.31,10.96
12/1/2011,2000,11.98,9.28
12/1/2011,2100,11.63,8.59
12/1/2011,2200,11.32,13.35
12/1/2011,2300,9.82,8.74
12/1/2011,2400,12.23,13.11
4/2/2012,100,1.623,74.7
4/2/2012,200,3.353,37.11
4/2/2012,300,2.411,346.5
4/2/2012,400,3.608,3.962
4/2/2012,500,1.661,229.6
4/2/2012,600,2.601,12.05
4/2/2012,700,5.321,10.71
4/2/2012,800,7.7,10.27
4/2/2012,900,8.46,9.79
4/2/2012,1000,8.27,24.19
4/2/2012,1100,8.01,23.89
4/2/2012,1200,8.69,26.8
4/2/2012,1300,7.95,27.8
4/2/2012,1400,7.46,27.01
4/2/2012,1500,6.63,31.94
4/2/2012,1600,3.355,52.51
4/2/2012,1700,2.191,224.9
4/2/2012,1800,2.982,225
4/2/2012,1900,4.613,208.2
4/2/2012,2000,6.374,179.7
4/2/2012,2100,5.053,151.5
4/2/2012,2200,4.74,157
4/2/2012,2300,4.574,155.7
4/2/2012,2400,3.805,187
5/25/2012,100,6.834,105.4
5/25/2012,200,8.15,83.3
5/25/2012,300,7.21,96.4
5/25/2012,400,7.76,89.4
5/25/2012,500,5.673,93.1
5/25/2012,600,7.67,93.4
5/25/2012,700,7.66,79.2
5/25/2012,800,6.531,48.68
5/25/2012,900,5.109,140.7
5/25/2012,1000,9.39,208.3
5/25/2012,1100,12.14,209.7
5/25/2012,1200,12.99,215.8
5/25/2012,1300,13.56,218.6
5/25/2012,1400,14.68,209.8
5/25/2012,1500,12.37,213.8
5/25/2012,1600,11.11,209.8
5/25/2012,1700,12.93,217.7
5/25/2012,1800,11.75,250.8
5/25/2012,1900,9.86,281.3
5/25/2012,2000,7.19,314.8
5/25/2012,2100,5.257,322.7
5/25/2012,2200,5.76,326
5/25/2012,2300,4.489,341.5
5/25/2012,2400,2.376,218.6
6/9/2012,100,2.237,168.1
6/9/2012,200,2.245,179.7
6/9/2012,300,2.332,186.9
6/9/2012,400,1.283,186.1
6/9/2012,500,2.387,174.1
6/9/2012,600,2.446,159.2
6/9/2012,700,0.839,121.6
6/9/2012,800,2.004,25.16
6/9/2012,900,1.647,28.73
6/9/2012,1000,2.516,147.2
6/9/2012,1100,3.768,160.8
6/9/2012,1200,6.301,169.9
6/9/2012,1300,6.934,168.9
6/9/2012,1400,7.44,178.2
6/9/2012,1500,7.88,179.5
6/9/2012,1600,6.67,180.1
6/9/2012,1700,6.03,182.5
6/9/2012,1800,4.165,203
6/9/2012,1900,3.334,206.7
6/9/2012,2000,12.27,13.3
6/9/2012,2100,14.23,17.95
6/9/2012,2200,16.15,21.16
6/9/2012,2300,15.78,27
6/9/2012,2400,14.42,23.2
03/31/17,100,17.46,21.80
03/31/17,200,18.81,20.40
03/31/17,300,19.11,27.60
03/31/17,400,20.34,29.30
03/31/17,500,20.40,21.70
03/31/17,600,18.98,11.40
03/31/17,700,18.88,20.80
03/31/17,800,18.16,18.00
03/31/17,900,16.31,11.20
03/31/17,1000,15.42,5.30
03/31/17,1100,14.42,13.50
03/31/17,1200,14.41,11.40
03/31/17,1300,15.65,13.40
03/31/17,1400,16.63,18.90
03/31/17,1500,16.21,22.30
03/31/17,1600,15.07,19.80
03/31/17,1700,14.31,19.60
03/31/17,1800,11.87,25.30
03/31/17,1900,9.52,23.40
03/31/17,2000,12.29,12.20
03/31/17,2100,15.54,11.90
03/31/17,2200,15.89,15.70
03/31/17,2300,15.61,11.70
03/31/17,2400,14.58,16.20
